Date,Adj Close,Close,High,Low,Open,Volume
2021-08-11,275.385009765625,286.95001220703125,288.6600036621094,285.8599853515625,287.2099914550781,13955900
2021-08-12,278.12969970703125,289.80999755859375,289.9700012207031,286.3399963378906,286.6300048828125,14561300
2021-08-13,281.0471496582031,292.8500061035156,292.8999938964844,289.29998779296875,289.4800109863281,18249000
2021-08-16,282.72662353515625,294.6000061035156,294.82000732421875,290.0199890136719,293.19000244140625,22507600
2021-08-17,281.2679138183594,293.0799865722656,293.42999267578125,291.0799865722656,292.3900146484375,20075300
2021-08-18,279.5467529296875,290.7300109863281,294.82000732421875,290.2699890136719,292.0400085449219,21813000
2021-08-19,285.3544616699219,296.7699890136719,297.4700012207031,288.6400146484375,288.69000244140625,29850500
2021-08-20,292.6524963378906,304.3599853515625,305.8399963378906,298.05999755859375,299.7200012207031,40817600
2021-08-23,292.93133544921875,304.6499938964844,305.3999938964844,301.8500061035156,303.25,22830200
2021-08-24,290.9794006347656,302.6199951171875,305.6499938964844,302.0,305.0199890136719,18175800
2021-08-25,290.3929138183594,302.010009765625,304.5899963378906,300.4200134277344,304.29998779296875,20006100
2021-08-26,287.585205078125,299.0899963378906,302.42999267578125,298.95001220703125,300.989990234375,17666100
2021-08-27,288.1910095214844,299.7200012207031,300.8699951171875,296.8299865722656,298.989990234375,22605700
2021-08-30,291.9120788574219,303.5899963378906,304.2200012207031,301.05999755859375,301.1199951171875,16348100
2021-08-31,290.2678527832031,301.8800048828125,304.5,301.5,304.4200134277344,26285300
2021-09-01,290.2197265625,301.8299865722656,305.19000244140625,301.489990234375,302.8699951171875,18983800
2021-09-02,289.5658874511719,301.1499938964844,303.3599853515625,300.17999267578125,302.20001220703125,16285600
2021-09-03,289.5563659667969,301.1400146484375,302.6000061035156,300.260009765625,300.989990234375,14747900
2021-09-07,288.63330078125,300.17999267578125,301.0899963378906,298.20001220703125,301.010009765625,17180400
2021-09-08,288.6620788574219,300.2099914550781,300.6099853515625,297.4700012207031,299.7799987792969,15046800
2021-09-09,285.81597900390625,297.25,302.1400146484375,297.0,300.82000732421875,19927000
2021-09-10,284.335205078125,295.7099914550781,299.9200134277344,295.3800048828125,298.4200134277344,19633400
2021-09-13,285.56591796875,296.989990234375,298.5400085449219,294.0799865722656,297.54998779296875,23652900
2021-09-14,288.25830078125,299.7900085449219,301.3900146484375,298.1000061035156,299.55999755859375,21853400
2021-09-15,293.09478759765625,304.82000732421875,305.32000732421875,301.82000732421875,303.260009765625,28356300
2021-09-16,293.4793395996094,305.2200012207031,305.30999755859375,300.760009765625,303.760009765625,19550800
2021-09-17,288.335205078125,299.8699951171875,304.5,299.5299987792969,304.1700134277344,41372500
2021-09-20,282.97943115234375,294.29998779296875,298.7200012207031,289.5199890136719,296.3299865722656,38278700
2021-09-21,283.460205078125,294.79998779296875,297.5400085449219,294.07000732421875,295.69000244140625,22364100
2021-09-22,287.0947570800781,298.5799865722656,300.2200012207031,294.510009765625,296.7300109863281,26626300
2021-09-23,288.037109375,299.55999755859375,300.8999938964844,297.5299987792969,298.8500061035156,18604600
2021-09-24,287.8351745605469,299.3500061035156,299.79998779296875,296.92999267578125,298.2300109863281,14999000
2021-09-27,282.8544616699219,294.1700134277344,296.4700012207031,292.94000244140625,296.1400146484375,23571700
2021-09-28,272.61407470703125,283.5199890136719,290.7799987792969,282.75,289.79998779296875,43186200
2021-09-29,273.07568359375,284.0,286.7699890136719,283.010009765625,285.1000061035156,26353700
2021-09-30,271.0756530761719,281.9200134277344,287.8299865722656,281.6199951171875,285.7099914550781,32343600
2021-10-01,277.9794921875,289.1000061035156,289.9800109863281,281.2900085449219,282.1199951171875,30086300
2021-10-04,272.2198791503906,283.1099853515625,287.75,280.25,287.3999938964844,31350700
2021-10-05,277.65252685546875,288.760009765625,290.3999938964844,284.04998779296875,284.04998779296875,24993000
2021-10-06,281.8351745605469,293.1099853515625,293.6300048828125,285.510009765625,285.7799987792969,28002600
2021-10-07,283.50830078125,294.8500061035156,296.6400146484375,293.9200134277344,295.17999267578125,20430500
2021-10-08,283.50830078125,294.8500061035156,296.6400146484375,293.760009765625,296.2200012207031,17685700
2021-10-11,282.9122009277344,294.2300109863281,297.9700012207031,292.75,292.9200134277344,19298600
2021-10-12,281.61407470703125,292.8800048828125,295.44000244140625,292.3500061035156,295.3399963378906,17974100
2021-10-13,284.9121398925781,296.30999755859375,297.2799987792969,293.489990234375,294.9100036621094,23416300
2021-10-14,291.10443115234375,302.75,303.2699890136719,297.8299865722656,299.2099914550781,27262900
2021-10-15,292.5082702636719,304.2099914550781,304.45001220703125,300.5199890136719,302.3399963378906,25384800
2021-10-18,295.46978759765625,307.2900085449219,308.2099914550781,302.69000244140625,303.57000732421875,22729300
2021-10-19,296.3736572265625,308.2300109863281,309.29998779296875,307.2200012207031,308.3500061035156,17682100
2021-10-20,295.5852355957031,307.4100036621094,309.70001220703125,306.1099853515625,309.2099914550781,16537100
2021-10-21,298.8063049316406,310.760009765625,311.0199890136719,306.3599853515625,307.1700134277344,16918100
2021-10-22,297.26788330078125,309.1600036621094,311.0899963378906,307.79998779296875,310.3999938964844,17449300
2021-10-25,296.2774353027344,308.1300048828125,309.3999938964844,306.4599914550781,309.3599853515625,17554500
2021-10-26,298.1811828613281,310.1099853515625,312.3999938964844,308.6000061035156,311.0,28107300
2021-10-27,310.739013671875,323.1700134277344,326.1000061035156,316.0,316.0,52588700
2021-10-28,311.87353515625,324.3500061035156,324.8699951171875,321.3599853515625,324.3299865722656,26297900
2021-10-29,318.8638916015625,331.6199951171875,332.0,323.8999938964844,324.1300048828125,34766000
2021-11-01,316.70050048828125,329.3699951171875,331.489990234375,326.3699951171875,331.3599853515625,27073200
2021-11-02,320.3157958984375,333.1300048828125,333.45001220703125,330.0,330.30999755859375,26487100
2021-11-03,321.15234375,334.0,334.8999938964844,330.6499938964844,333.8999938964844,21500100
2021-11-04,323.49853515625,336.44000244140625,336.5400085449219,329.510009765625,332.8900146484375,23992200
2021-11-05,323.1331481933594,336.05999755859375,338.7900085449219,334.4200134277344,338.510009765625,22570100
2021-11-08,324.02734375,336.989990234375,337.6499938964844,334.44000244140625,337.29998779296875,20897000
2021-11-09,323.02740478515625,335.95001220703125,338.7200012207031,334.5299987792969,337.1099853515625,21307400
2021-11-10,318.0754699707031,330.79998779296875,334.6300048828125,329.9200134277344,334.57000732421875,25500900
2021-11-11,319.6427917480469,332.42999267578125,333.7699890136719,330.510009765625,331.25,16849800
2021-11-12,323.7677001953125,336.7200012207031,337.2300109863281,333.7900085449219,333.9200134277344,23831000
2021-11-15,323.1427307128906,336.07000732421875,337.8800048828125,334.0299987792969,337.5400085449219,16723000
2021-11-16,326.4504089355469,339.510009765625,340.6700134277344,335.510009765625,335.67999267578125,20886800
2021-11-17,326.67193603515625,339.1199951171875,342.19000244140625,338.0,338.94000244140625,19053400
2021-11-18,328.7429504394531,341.2699890136719,342.45001220703125,337.1199951171875,338.17999267578125,22463500
2021-11-19,330.5155029296875,343.1099853515625,345.1000061035156,342.20001220703125,342.6400146484375,21963400
2021-11-22,327.35589599609375,339.8299865722656,349.6700134277344,339.54998779296875,344.6199951171875,31031100
2021-11-23,325.2847900390625,337.67999267578125,339.45001220703125,333.55999755859375,337.04998779296875,30427600
2021-11-24,325.5063781738281,337.9100036621094,338.1600036621094,333.9100036621094,336.2799987792969,21661300
2021-11-26,317.5784606933594,329.67999267578125,337.92999267578125,328.1199951171875,334.3500061035156,24217200
2021-11-29,324.2733459472656,336.6300048828125,339.0299987792969,334.739990234375,334.94000244140625,28563500
2021-11-30,318.4550476074219,330.5899963378906,337.7799987792969,328.989990234375,335.32000732421875,42885600
2021-12-01,317.9637756347656,330.0799865722656,339.2799987792969,329.3900146484375,335.1300048828125,33337600
2021-12-02,317.3954772949219,329.489990234375,333.489990234375,327.79998779296875,330.29998779296875,30766000
2021-12-03,311.1532897949219,323.010009765625,332.70001220703125,318.0299987792969,331.989990234375,41779300
2021-12-06,314.21661376953125,326.19000244140625,327.45001220703125,319.2300109863281,323.95001220703125,30032600
2021-12-07,322.6261291503906,334.9200134277344,335.79998779296875,330.1000061035156,331.6400146484375,31021900
2021-12-08,322.6742858886719,334.9700012207031,335.5,330.79998779296875,335.30999755859375,24761000
2021-12-09,320.87298583984375,333.1000061035156,336.489990234375,332.1199951171875,334.4100036621094,22214200
2021-12-10,329.9664306640625,342.5400085449219,343.0,334.7900085449219,334.9800109863281,38095700
2021-12-13,326.94171142578125,339.3999938964844,343.7900085449219,339.0799865722656,340.67999267578125,28899400
2021-12-14,316.2876281738281,328.3399963378906,334.6400146484375,324.1099853515625,333.2200012207031,44438700
2021-12-15,322.3660888671875,334.6499938964844,335.19000244140625,324.5,328.6099853515625,35381100
2021-12-16,312.97393798828125,324.8999938964844,336.760009765625,323.0199890136719,335.7099914550781,35034800
2021-12-17,311.91424560546875,323.79998779296875,324.9200134277344,317.25,320.8800048828125,47750300
2021-12-20,308.16705322265625,319.9100036621094,322.79998779296875,317.57000732421875,320.04998779296875,28326500
2021-12-21,315.2762451171875,327.2900085449219,327.7300109863281,319.79998779296875,323.2900085449219,24740600
2021-12-22,320.9692687988281,333.20001220703125,333.6099853515625,325.75,328.29998779296875,24831500
2021-12-23,322.404541015625,334.69000244140625,336.3900146484375,332.7300109863281,332.75,19617800
