stock,status,model,epochs_completed,MAE,RMSE,MAPE,R2,final_training_loss,final_validation_loss
TCS,trained,models\tcs_lstm_model.keras,58,312.29839384839886,416.16608115332946,13.25838111501616,-0.07694498868760213,0.0035193327348679304,0.0021203733049333096
Infosys,trained,models\infosys_lstm_model.keras,67,37.2123024768999,47.68724756442535,2.964009468921297,0.9413623983499194,0.0031085603404790163,0.0015526642091572285
Reliance,trained,models\reliance_lstm_model.keras,27,26.882232694369655,33.7972064542823,1.913882477310263,0.8338175036051952,0.0038003537338227034,0.005932339932769537
HDFC Bank,trained,models\hdfc_bank_lstm_model.keras,36,15.710935628882904,19.249394570770647,1.785135254536729,0.9613366769672017,0.0027330375742167234,0.008095428347587585
Apple,trained,models\apple_lstm_model.keras,22,10.151561613242947,13.165603089212947,3.561362829369251,0.7339962738930954,0.002753910608589649,0.005211534444242716
Microsoft,trained,models\microsoft_lstm_model.keras,24,14.783156188827064,21.08592091218779,3.406960179407001,0.8423441246919754,0.002373242750763893,0.005795890465378761
Tesla,trained,models\tesla_lstm_model.keras,18,20.928097732855495,26.055799134250123,5.1054202324822935,0.6039791789894808,0.003232246031984687,0.004164035897701979
